District,Total_Aadhaar_Generated,Saturation,State
East Godavari,5738965.0,111%,Andhra Pradesh
Guntur,5263783.0,108%,Andhra Pradesh
Krishna,4784531.0,106%,Andhra Pradesh
Visakhapatnam,4669030.0,109%,Andhra Pradesh
Ananthapur,4651918.0,114%,Andhra Pradesh
Chittoor,4543808.0,109%,Andhra Pradesh
Kurnool,4448549.0,110%,Andhra Pradesh
West Godavari,4261145.0,108%,Andhra Pradesh
Prakasam,3653723.0,108%,Andhra Pradesh
Nellore,3142511.0,106%,Andhra Pradesh
Cuddapah,3093409.0,107%,Andhra Pradesh
Srikakulam,3079672.0,114%,Andhra Pradesh
Vizianagaram,2535153.0,108%,Andhra Pradesh
Nagaon,2128427.0,75%,Assam
Barpeta,1570647.0,93%,Assam
Dhubri,1466111.0,75%,Assam
Kamrup,1299754.0,47%,Assam
Cachar,1092397.0,63%,Assam
Karimganj,920126.0,76%,Assam
Goalpara,849443.0,84%,Assam
Golaghat,814240.0,77%,Assam
Lakhimpur,808903.0,78%,Assam
Marigaon,801849.0,84%,Assam
Sonitpur,787932.0,41%,Assam
Dibrugarh,709090.0,53%,Assam
Darrang,642936.0,71%,Assam
Kokrajhar,634524.0,72%,Assam
Tinsukia,622062.0,47%,Assam
Jorhat,616023.0,56%,Assam
Nalbari,570040.0,74%,Assam
Karbi Anglong,565783.0,59%,Assam
Dhemaji,563183.0,82%,Assam
Hailakandi,515933.0,78%,Assam
Sibsagar,428305.0,37%,Assam
Bongaigaon,406951.0,56%,Assam
North Cachar H,125730.0,59%,Assam
Raipur,2473030.0,61%,Chhattisgarh
Bilaspur,2292687.0,86%,Chhattisgarh
Durg,1938349.0,58%,Chhattisgarh
Janjgir-champa,1933678.0,119%,Chhattisgarh
Rajnandgaon,1714810.0,112%,Chhattisgarh
Raigarh,1632403.0,109%,Chhattisgarh
Korba,1297376.0,108%,Chhattisgarh
Mahasamund,1197495.0,116%,Chhattisgarh
Surguja,1164833.0,49%,Chhattisgarh
Jashpur,939152.0,110%,Chhattisgarh
Bastar,896061.0,63%,Chhattisgarh
