District,pct_ICU,daily_tests_per_million_14ma,TPR,rate_increase_new_cases,daily_cases_per_million,category,dates,is_change
Mysuru,100,,,,,GRAY,2020-01-30,
Mysuru,100,,,,,GRAY,2020-01-31,False
Mysuru,100,,,,,GRAY,2020-02-01,False
Mysuru,100,,,,,GRAY,2020-02-02,False
Mysuru,100,,,,,GRAY,2020-02-03,False
Mysuru,100,,,,,GRAY,2020-02-04,False
Mysuru,100,,,,,GRAY,2020-02-05,False
Mysuru,100,,,,,GRAY,2020-02-06,False
Mysuru,100,,,,,GRAY,2020-02-07,False
Mysuru,100,,,,,GRAY,2020-02-08,False
Mysuru,100,,,,,GRAY,2020-02-09,False
Mysuru,100,,,,,GRAY,2020-02-10,False
Mysuru,100,,,,,GRAY,2020-02-11,False
Mysuru,100,,,,,GRAY,2020-02-12,False
Mysuru,100,,,,,GRAY,2020-02-13,False
Mysuru,100,,,,,GRAY,2020-02-14,False
Mysuru,100,,,,,GRAY,2020-02-15,False
Mysuru,100,,,,,GRAY,2020-02-16,False
Mysuru,100,,,,,GRAY,2020-02-17,False
Mysuru,100,,,,,GRAY,2020-02-18,False
Mysuru,100,,,,,GRAY,2020-02-19,False
Mysuru,100,,,,,GRAY,2020-02-20,False
Mysuru,100,,,,,GRAY,2020-02-21,False
Mysuru,100,,,,,GRAY,2020-02-22,False
Mysuru,100,,,,,GRAY,2020-02-23,False
Mysuru,100,,,,,GRAY,2020-02-24,False
Mysuru,100,,,,,GRAY,2020-02-25,False
Mysuru,100,,,,,GRAY,2020-02-26,False
Mysuru,100,,,,,GRAY,2020-02-27,False
Mysuru,100,,,,,GRAY,2020-02-28,False
Mysuru,100,,,,,GRAY,2020-02-29,False
Mysuru,100,,,,,GRAY,2020-03-01,False
Mysuru,100,,,,,GRAY,2020-03-02,False
Mysuru,100,,,,,GRAY,2020-03-03,False
Mysuru,100,,,,,GRAY,2020-03-04,False
Mysuru,100,,,,,GRAY,2020-03-05,False
Mysuru,100,,,,,GRAY,2020-03-06,False
Mysuru,100,,,,,GRAY,2020-03-07,False
Mysuru,100,,,,,GRAY,2020-03-08,False
Mysuru,100,,,,,GRAY,2020-03-09,False
Mysuru,100,,,,,GRAY,2020-03-10,False
Mysuru,100,,,,,GRAY,2020-03-11,False
Mysuru,100,,,,,GRAY,2020-03-12,False
Mysuru,100,,,,,GRAY,2020-03-13,False
Mysuru,100,,,,,GRAY,2020-03-14,False
Mysuru,100,,,,,GRAY,2020-03-15,False
Mysuru,100,,,,,GRAY,2020-03-16,False
Mysuru,100,,,,,GRAY,2020-03-17,False
Mysuru,100,,,,,GRAY,2020-03-18,False
Mysuru,100,,,,,GRAY,2020-03-19,False
Mysuru,100,,,,,GRAY,2020-03-20,False
Mysuru,100,,,,,GRAY,2020-03-21,False
Mysuru,100,,,,,GRAY,2020-03-22,False
Mysuru,100,,,,,GRAY,2020-03-23,False
Mysuru,100,,,,,GRAY,2020-03-24,False
Mysuru,100,,,,,GRAY,2020-03-25,False
