Code,District,Headquarters,Population,Area,Density
AN,Anantapur,Anantapur,4083315.0,19130,213
CH,Chittoor,Chittoor,4170468.0,15152,275
EG,East Godavari,Kakinada,5151549.0,10807,477
GU,Guntur,Guntur,4889230.0,11391,429
CU,Kadapa,Kadapa,2884524.0,15359,188
CU,Y.S.R. Kadapa,Kadapa,2884524.0,15359,188
KR,Krishna,Vijayawada,4529009.0,8727,519
KU,Kurnool,Kurnool,4046601.0,17658,229
PR,Prakasam,Ongole,3392764.0,17626,192
NE,Sri Potti Sriramulu Nellore,Nellore,2966082.0,13076,227
NE,S.P.S. Nellore,Nellore,2966082.0,13076,227
SR,Srikakulam,Srikakulam,2699471.0,5837,462
VS,Visakhapatnam,Visakhapatnam,4288113.0,11161,384
VZ,Vizianagaram,Vizianagaram,2342868.0,6539,358
WG,West Godavari,Eluru,3934782.0,7742,490
AJ,Anjaw,Hawai,21089.0,6190,3
CH,Changlang,Changlang,147951.0,4662,32
EK,East Kameng,Seppa,78413.0,4134,19
ES,East Siang,Pasighat,99019.0,3603,27
,Kamle,Raga,22256.0,200,111
,Kra Daadi,Jamin,,,
KK,Kurung Kumey,Koloriang,89717.0,6040,15
,Lepa Rada,Basar,,,
EL,Lohit,Tezu,145538.0,2402,61
LD,Longding,Longding,60000.0,1200,50
DV,Lower Dibang Valley,Roing,53986.0,3900,14
,Lower Siang,Likabali,,,
LB,Lower Subansiri,Ziro,82839.0,3508,24
,Namsai,Namsai,95950.0,1587,60
,Pakke-Kessang,Lemmi,,,
PA,Papum Pare,Yupia,176385.0,2875,61
,Shi Yomi,Tato,13310.0,2875,5
,Siang,Pangin,31920.0,2919,11
TA,Tawang,Tawang,49950.0,2085,24
TI,Tirap,Khonsa,111997.0,2362,47
UD,Upper Dibang Valley,Anini,7948.0,9129,1
US,Upper Siang,Yingkiong,35289.0,6188,6
UB,Upper Subansiri,Daporijo,83205.0,7032,12
WK,West Kameng,Bomdila,87013.0,7422,12
WS,West Siang,Along,112272.0,8325,13
BK,Baksa,Mushalpur,953773.0,2008,475
,Bajali,Pathsala,253816.0,,
BP,Barpeta,Barpeta,1693622.0,"3,245 km²","520/km2 (1,400/sq mi)"
BS,Bishwanath,Biswanath Chariali,612491.0,1100,560
BO,Bongaigaon,Bongaigaon,732639.0,1724,425
CA,Cachar,Silchar,1736319.0,3786,459
CD,Charaideo,Sonari,471418.0,1069,440
CH,Chirang,Kajalgaon,481818.0,1975,244
DR,Darrang,Mangaldoi,908090.0,1849,491
DM,Dhemaji,Dhemaji,688077.0,3237,213
DU,Dhubri,Dhubri,1948632.0,2838,687
DI,Dibrugarh,Dibrugarh,1327748.0,3381,393
NC,Dima Hasao,Haflong,213529.0,4888,44
GP,Goalpara,Goalpara,1008959.0,1824,553
GG,Golaghat,Golaghat,1058674.0,3502,302
HA,Hailakandi,Hailakandi,659260.0,1327,497
HJ,Hojai,Hojai,931218.0,,
JO,Jorhat,Jorhat,1091295.0,2851,383
KU,Kamrup,Amingaon,1517202.0,3480,436
KM,Kamrup Metropolitan,Guwahati,1260419.0,627,2010
KG,Karbi Anglong,Diphu,965280.0,10434,93
KR,Karimganj,Karimganj,1217002.0,1809,673
KJ,Kokrajhar,Kokrajhar,886999.0,3129,283
LA,Lakhimpur,North Lakhimpur,1040644.0,2277,457
MJ,Majuli,Garamur,167304.0,880,300
MA,Morigaon,Marigaon,957853.0,1704,562
NN,Nagaon,Nagaon,2826006.0,3831,738
NB,Nalbari,Nalbari,769919.0,1009,763
ST,Sivasagar,Sibsagar,1150253.0,2668,431
SM,South Salmara,Hatsingimari,555114.0,568,980
SO,Sonitpur,Tezpur,1925975.0,5324,362
TI,Tinsukia,Tinsukia,1316948.0,3790,347
UD,Udalguri,Udalguri,832769.0,1676,497
WK,West Karbi Anglong,Hamren,300320.0,3035,99
AR,Araria,Araria,2806200.0,2829,992
AR,Arwal,Arwal,700843.0,638,1098
AU,Aurangabad,Aurangabad,2511243.0,3303,760
BA,Banka,Banka,2029339.0,3018,672
BE,Begusarai,Begusarai,2954367.0,1917,1540
BG,Bhagalpur,Bhagalpur,3032226.0,2569,1180
BJ,Bhojpur,Arrah,2720155.0,2473,1136
BU,Buxar,Buxar,1707643.0,1624,1003
DA,Darbhanga,Darbhanga,3921971.0,2278,1721
EC,East Champaran,Motihari,5082868.0,3969,1281
GA,Gaya,Gaya,4379383.0,4978,880
GO,Gopalganj,Gopalganj,2558037.0,2033,1258
JA,Jamui,Jamui,1756078.0,3099,567
JE,Jehanabad,Jehanabad,1124176.0,1569,1206
KM,Kaimur,Bhabua,1626900.0,3363,488
